Capital Asset Pricing Model,,,,,,,,Date,S&P 500,LAAC,,HPR S&P 500,HPR LAAC,,HPR S&P 500,,,,*LAAC Beta:,1.68
,,,,,,,,8/1/2013,"1,632.97 ",0.28 ,,,,,,,,,,
,,,,,,,,9/1/2013,"1,681.55 ",0.48 ,,2.93 ,53.90 ,,0.0293 ,1.0293 ,,,*S&P 500,0.81%
,,,,,,,,10/1/2013,"1,756.54 ",0.46 ,,4.36 ,(4.26),,0.0436 ,1.0436 ,,,*S&P 500,10.14%
,,,,,,,,11/1/2013,"1,805.81 ",0.42 ,,2.77 ,(9.10),,0.0277 ,1.0277 ,,,,
,Rf:,10 yr US T-note,4.20%,,,,,12/1/2013,"1,848.36 ",0.46 ,,2.33 ,9.10 ,,0.0233 ,1.0233 ,,,CAPM LAAC:,14.15%
,Rm:,S&P 500,,,,,,1/1/2014,"1,782.59 ",0.58 ,,(3.62),23.18 ,,(0.0362),0.9638 ,,,,
,,,,,,,,2/1/2014,"1,859.45 ",1.37 ,,4.22 ,85.22 ,,0.0422 ,1.0422 ,,,,
,,,,,,,,3/1/2014,"1,872.34 ",1.67 ,,0.69 ,19.93 ,,0.0069 ,1.0069 ,,,,
,,,,,,,,4/1/2014,"1,883.95 ",1.05 ,,0.62 ,(46.76),,0.0062 ,1.0062 ,,,,
,,,,,,,,5/1/2014,"1,923.57 ",0.93 ,,2.08 ,(12.26),,0.0208 ,1.0208 ,,,,
,,,,,,,,6/1/2014,"1,960.23 ",0.95 ,,1.89 ,2.15 ,,0.0189 ,1.0189 ,,,,
,,,,,,,,7/1/2014,"1,930.67 ",1.13 ,,(1.52),17.52 ,,(0.0152),0.9848 ,,,,
,,,,,,,,8/1/2014,"2,003.37 ",1.09 ,,3.70 ,(3.64),,0.0370 ,1.0370 ,,,,
,,,,,,,,9/1/2014,"1,972.29 ",1.51 ,,(1.56),32.85 ,,(0.0156),0.9844 ,,,,
,,,,,,,,10/1/2014,"2,018.05 ",1.41 ,,2.29 ,(6.90),,0.0229 ,1.0229 ,,,,
,,,,,,,,11/1/2014,"2,067.56 ",1.21 ,,2.42 ,(15.42),,0.0242 ,1.0242 ,,,,
,,,,,,,,12/1/2014,"2,058.90 ",0.91 ,,(0.42),(28.77),,(0.0042),0.9958 ,,,,
,,,,,,,,1/1/2015,"1,994.99 ",0.85 ,,(3.15),(6.90),,(0.0315),0.9685 ,,,,
,,,,,,,,2/1/2015,"2,104.50 ",1.11 ,,5.34 ,26.97 ,,0.0534 ,1.0534 ,,,,
,,,,,,,,3/1/2015,"2,067.89 ",1.01 ,,(1.75),(9.53),,(0.0175),0.9825 ,,,,
,,,,,,,,4/1/2015,"2,085.51 ",1.25 ,,0.85 ,21.51 ,,0.0085 ,1.0085 ,,,,
,,,,,,,,5/1/2015,"2,107.39 ",1.31 ,,1.04 ,4.73 ,,0.0104 ,1.0104 ,,,,
,,,,,,,,6/1/2015,"2,063.11 ",0.97 ,,(2.12),(30.32),,(0.0212),0.9788 ,,,,
,,,,,,,,7/1/2015,"2,103.84 ",0.87 ,,1.95 ,(11.00),,0.0195 ,1.0195 ,,,,
,,,,,,,,8/1/2015,"1,972.18 ",0.68 ,,(6.46),(23.48),,(0.0646),0.9354 ,,,,
,,,,,,,,9/1/2015,"1,920.03 ",0.46 ,,(2.68),(39.09),,(0.0268),0.9732 ,,,,
,,,,,,,,10/1/2015,"2,079.36 ",0.58 ,,7.97 ,23.18 ,,0.0797 ,1.0797 ,,,,
,,,,,,,,11/1/2015,"2,080.41 ",0.44 ,,0.05 ,(27.63),,0.0005 ,1.0005 ,,,,
,,,,,,,,12/1/2015,"2,043.94 ",0.52 ,,(1.77),16.71 ,,(0.0177),0.9823 ,,,,
,,,,,,,,1/1/2016,"1,940.24 ",0.60 ,,(5.21),14.31 ,,(0.0521),0.9479 ,,,,
,,,,,,,,2/1/2016,"1,932.23 ",0.58 ,,(0.41),(3.39),,(0.0041),0.9959 ,,,,
,,,,,,,,3/1/2016,"2,059.74 ",0.79 ,,6.39 ,29.63 ,,0.0639 ,1.0639 ,,,,
,,,,,,,,4/1/2016,"2,065.30 ",1.15 ,,0.27 ,37.95 ,,0.0027 ,1.0027 ,,,,
,,,,,,,,5/1/2016,"2,096.95 ",1.31 ,,1.52 ,13.13 ,,0.0152 ,1.0152 ,,,,
,,,,,,,,6/1/2016,"2,098.86 ",1.71 ,,0.09 ,26.83 ,,0.0009 ,1.0009 ,,,,
,,,,,,,,7/1/2016,"2,173.60 ",1.49 ,,3.50 ,(13.86),,0.0350 ,1.0350 ,,,,
,,,,,,,,8/1/2016,"2,170.95 ",1.37 ,,(0.12),(8.46),,(0.0012),0.9988 ,,,,
,,,,,,,,9/1/2016,"2,168.27 ",1.39 ,,(0.12),1.46 ,,(0.0012),0.9988 ,,,,
,,,,,,,,10/1/2016,"2,126.15 ",1.15 ,,(1.96),(19.11),,(0.0196),0.9804 ,,,,
,,,,,,,,11/1/2016,"2,198.81 ",1.21 ,,3.36 ,5.13 ,,0.0336 ,1.0336 ,,,,
,,,,,,,,12/1/2016,"2,238.83 ",1.19 ,,1.80 ,(1.68),,0.0180 ,1.0180 ,,,,
,,,,,,,,1/1/2017,"2,278.87 ",1.47 ,,1.77 ,21.29 ,,0.0177 ,1.0177 ,,,,
,,,,,,,,2/1/2017,"2,363.64 ",1.57 ,,3.65 ,6.62 ,,0.0365 ,1.0365 ,,,,
,,,,,,,,3/1/2017,"2,362.72 ",1.51 ,,(0.04),(3.92),,(0.0004),0.9996 ,,,,
,,,,,,,,4/1/2017,"2,384.20 ",1.43 ,,0.91 ,(5.48),,0.0091 ,1.0091 ,,,,
,,,,,,,,5/1/2017,"2,411.80 ",1.39 ,,1.15 ,(2.86),,0.0115 ,1.0115 ,,,,
,,,,,,,,6/1/2017,"2,423.41 ",1.33 ,,0.48 ,(4.45),,0.0048 ,1.0048 ,,,,
,,,,,,,,7/1/2017,"2,470.30 ",1.63 ,,1.92 ,20.48 ,,0.0192 ,1.0192 ,,,,
,,,,,,,,8/1/2017,"2,471.65 ",2.03 ,,0.05 ,22.07 ,,0.0005 ,1.0005 ,,,,
,,,,,,,,9/1/2017,"2,519.36 ",2.66 ,,1.91 ,26.77 ,,0.0191 ,1.0191 ,,,,
,,,,,,,,10/1/2017,"2,575.26 ",3.20 ,,2.19 ,18.61 ,,0.0219 ,1.0219 ,,,,
,,,,,,,,11/1/2017,"2,647.58 ",4.11 ,,2.77 ,25.12 ,,0.0277 ,1.0277 ,,,,
,,,,,,,,12/1/2017,"2,673.61 ",3.58 ,,0.98 ,(13.94),,0.0098 ,1.0098 ,,,,
,,,,,,,,1/1/2018,"2,823.81 ",2.74 ,,5.47 ,(26.80),,0.0547 ,1.0547 ,,,,
,,,,,,,,2/1/2018,"2,713.83 ",2.52 ,,(3.97),(8.11),,(0.0397),0.9603 ,,,,
,,,,,,,,3/1/2018,"2,640.87 ",2.18 ,,(2.73),(14.57),,(0.0273),0.9727 ,,,,
