HPR NVDA,HPR QQQ
,
-2.2565,-0.8072
2.6777,0.8242
2.4406,2.0463
-1.4164,0.1134
-1.1357,-1.2342
3.7629,0.4982
-3.1294,-1.7478
-2.0302,-1.4143
0.0044,0.7389
4.6661,2.272
0.6834,0.5232
5.2776,2.6019
0.7178,-0.4737
0.678,0.1996
1.1478,1.4181
1.0215,-1.3691
2.695,1.1788
-1.5268,0.3674
-0.9304,-0.6875
-0.4571,-0.5326
2.1501,1.807
1.4678,0.9421
1.4286,1.6494
0.6745,-0.2433
-1.8478,-0.3379
-2.1056,-0.9921
0.5787,0.672
1.9848,-0.0566
-1.4978,-0.6438
-2.5121,-0.8873
-0.1209,1.9393
1.1086,-0.1882
0.9077,0.0847
2.433,0.0063
0.9497,-0.0471
-3.0056,-0.7654
0.0553,0.1043
-0.2843,-0.2087
-3.0068,-1.9044
2.6883,0.6046
0.9967,2.6828
1.9027,0.6875
4.0988,-0.1148
-2.4511,-0.876
-1.4569,-0.6565
-0.867,-0.3536
3.9762,2.1032
1.6289,0.2475
-2.0097,-0.6353
1.093,1.0823
-1.0685,0.3255
-0.8363,-0.3593
2.14,0.54
0.894,0.1132
3.2499,1.2031
4.8509,1.8403
-1.3155,-0.2256
-0.2819,0.3352
-1.5777,-1.2757
-0.49,-0.5143
21.8088,2.4042
2.5116,2.5229
2.9475,0.4525
-5.8442,-0.5702
4.9905,1.1486
-1.1202,0.7472
-0.3975,0.0705
-1.3286,-0.0169
-3.0976,-1.7111
2.7244,1.2337
0.6729,0.3815
1.8198,1.6756
3.8264,0.7655
4.7022,0.7241
-0.8033,1.1845
0.0914,-0.6313
2.5805,-0.2803
-1.757,-1.3721
-0.0465,1.173
-1.9148,-0.9963
-3.8078,-1.3496
3.0157,1.7048
-1.8291,0.195
-0.7201,-0.2005
3.5613,1.5302
0.2621,0.2352
-0.2266,-0.0027
-0.507,-0.7645
0.9456,-0.3326
-0.7629,0.0328
0.532,0.4928
3.4694,1.2551
4.6181,1.6836
-1.111,-0.0211
2.1582,0.9295
2.199,0.8147
-0.8819,-0.0233
-3.3633,-2.3322
-2.6964,-0.3004
0.6815,0.1596
2.3636,0.6755
-0.4982,-0.3332
0.9808,-0.2387
1.8349,1.8051
-0.0449,0.0521
-0.4762,-0.2322
-4.9318,-2.2188
0.5542,-0.1604
0.37,-0.4693
1.6361,0.8431
-1.6719,-0.8539
-4.8394,-1.1056
-0.3909,0.1847
-3.6836,-0.6396
6.8531,1.116
0.4265,-1.0668
-1.0386,-1.0645
-0.3271,-1.0983
-0.1039,-0.1256
8.1316,1.5983
-2.8047,-0.143
3.1215,1.5646
0.0997,-2.1607
-2.4577,0.7722
1.7598,0.7499
4.0772,2.1605
0.9791,0.5561
0.1845,0.2994
-1.729,-0.1059
0.0804,0.127
-3.1108,-0.8847
-1.7578,-0.7177
-1.4573,0.1397
-0.8683,1.1714
-0.6841,-1.115
1.3613,0.3802
0.2108,0.8144
-3.7577,-1.7271
0.1502,-0.0405
-1.0196,-0.2134
-2.9877,-1.4515
-2.9357,-1.8495
1.4354,0.014
1.4601,0.4738
-0.7393,-1.513
1.3203,0.2341
1.4517,0.833
0.947,0.0726
2.9068,0.8311
-2.8655,-1.7705
1.1969,1.3517
1.4584,-0.2951
2.3749,1.6617
-1.0743,0.5087
1.153,0.5523
2.1771,0.711
0.2965,-0.3481
-3.2122,-1.265
1.385,1.1243
-4.7925,-0.3281
-4.0454,-1.3205
-0.2254,-0.9401
-1.7105,-1.503
3.7652,0.3013
1.5883,0.9681
-4.4107,-2.478
-3.5397,-1.9251
0.4306,0.479
1.6189,1.1202
-0.9299,0.4771
3.7186,1.7208
2.7521,1.7991
3.3875,1.168
1.644,0.4071
0.4449,0.9408
1.338,0.0644
0.8041,-0.7725
2.9073,2.2233
0.5879,-0.3123
2.1084,2.1298
-1.5587,0.0752
1.2037,0.0855
-0.3685,0.0233
2.2286,1.2101
-0.9267,-0.5826
-2.4895,0.4085
-1.9484,-0.1411
0.9707,-0.0873
-0.8765,0.2618
0.6649,-0.0974
-2.8871,-0.2517
-0.0107,0.2851
-2.7203,-0.9327
2.2939,0.2508
-2.3092,-0.5801
2.3736,1.3876
1.9341,0.4447
-1.8676,0.8506
2.185,0.7933
0.9003,1.2637
0.5434,-0.0867
1.1107,0.4822
2.3989,0.4283
-0.949,0.5097
-3.0561,-1.4971
1.8105,1.1568
-0.3271,0.1495
0.9153,0.6103
0.2796,0.1508
0.2122,-0.0486
0,-0.4337
-2.7722,-1.7067
-1.2514,-1.0638
0.8978,-0.516
2.2639,0.1185
6.2299,2.0457
1.6833,0.1974
2.2515,0.6755
0.8647,0.2079
-0.2045,0.0513
3.0104,-0.0098
-0.5852,-0.5657
1.8629,1.4094
4.0898,1.9637
0.2736,0.1305
0.3664,0.4141
2.4565,0.5534
0.4147,0.122
-0.9556,-0.5975
2.3225,1.0188
0.4935,-0.6679
-2.0065,-1.978
2.4087,1.1707
4.8513,1.6759
4.6831,-0.1306
-1.6125,-0.2009
2.7127,1.0238
-0.6555,0.185
3.5158,0.9795
0.1593,-0.392
-0.1662,-1.572
2.427,1.0838
-1.6949,0.2973
-0.062,-0.9109
-4.4508,-0.7577
-2.8923,-0.401
15.187,2.8855
0.3546,-0.2949
0.3483,-0.0527
-0.4956,0.2402
