Date,Fed rate,Inflation rate,GDP growth
1954.5,1.03,0.52248,-1.436773489
1954.75,0.99,1.09852,-0.1401584
1955,1.35,1.86236,2.088691633
1955.25,1.5,1.66292,3.07892107
1955.5,1.94,2.79624,3.813169842
1955.75,2.36,3.96308,3.759041789
1956,2.48,4.00428,2.676681509
1956.25,2.69,2.37876,2.856149436
1956.5,2.81,5.0184,2.073440143
1956.75,2.93,1.60884,3.020310476
1957,2.93,5.47908,2.895606815
1957.25,3,2.80452,1.84936782
1957.5,3.23,2.37988,1.994458977
1957.75,3.25,0.27684,0.068689649
1958,1.87,4.32596,-3.368456338
1958.25,0.94,1.16944,-3.59472402
1958.5,1.32,2.43132,-2.247168585
1958.75,2.16,1.89876,-0.894057975
1959,2.58,0.93264,0.063114894
1959.25,3.08,0.61216,1.338625205
1959.5,3.57,1.54024,0.393240458
1959.75,3.99,1.58304,-0.32688868
1960,3.93,1.60108,0.878636973
1960.25,3.7,1.0148,-0.665639304
1960.5,2.94,1.37376,-1.170986666
1960.75,2.3,1.17688,-3.390416174
1961,1.99,0.86212,-3.691791709
1961.25,1.73,0.93196,-2.985216528
1961.5,1.68,1.02516,-2.089773159
1961.75,2.4,1.26032,-1.146378476
1962,2.46,2.06236,-0.389053606
1962.25,2.61,0.66032,-0.509322506
1962.5,2.85,0.82408,-0.324610963
1962.75,2.92,0.82236,-1.036141604
1963,2.97,1.7586,-0.997086246
1963.25,2.96,0.70036,-0.940278345
1963.5,3.33,0.536,0.164291542
1963.75,3.45,3.235,-0.258586238
1964,3.46,1.26976,0.76252493
1964.25,3.49,0.92056,0.765458685
1964.5,3.46,1.58428,1.238463215
1964.75,3.58,1.8296,0.468369493
1965,3.98,2.0034,1.779321553
1965.25,4.08,1.83488,1.972597759
1965.5,4.08,1.55588,3.104154208
1965.75,4.17,2.74036,4.329220099
1966,4.56,2.58784,5.696569985
1966.25,4.91,3.25832,4.889863482
1966.5,5.41,3.86964,4.608545544
1966.75,5.56,3.35348,4.316991964
1967,4.82,1.6628,4.087501009
1967.25,3.99,2.043,3.015395789
1967.5,3.89,3.82992,2.85869588
1967.75,4.17,4.45056,2.493140427
1968,4.79,4.42256,3.430895281
1968.25,5.98,4.22908,4.010520014
1968.5,5.95,3.91816,3.656103543
1968.75,5.92,5.64752,2.906051705
1969,6.57,4.1266,3.402246863
1969.25,8.33,5.09568,2.66137736
1969.5,8.98,5.61892,2.346804113
1969.75,8.94,5.15492,0.918422856
1970,8.56,5.62308,-0.108421271
1970.25,7.88,5.58272,-0.793540803
1970.5,6.71,3.28128,-0.673434946
1970.75,5.57,5.29556,-2.491392234
1971,3.86,6.06116,-0.606115631
1971.25,4.57,5.25564,-0.839127301
1971.5,5.48,4.07588,-0.799617079
1971.75,4.75,3.33608,-1.343648014
1972,3.55,6.08004,-0.323893557
1972.25,4.3,2.49116,1.127291117
1972.5,4.74,3.83228,1.263356032
1972.75,5.15,5.08924,2.125989682
1973,6.54,4.61068,3.794128291
1973.25,7.82,6.14856,4.028986543
1973.5,10.56,7.79944,2.59608734
1973.75,10,7.96704,2.671052852
1974,9.33,7.54748,0.901242543
1974.25,11.25,9.45012,0.262078583
1974.5,12.1,11.71872,-1.531089497
1974.75,9.34,11.76132,-2.729001607
