i18,i19,i20,i21,m18,m19,m20,m21
2.007768388,1.401227581,1.607890497,2.020912928,-0.2212512657,4.223193093,9.97565943,8.251314087
4.181340887,1.932965478,2.38642788,6.976915879,10.52808453,-0.7604149527,7.181464842,12.38424947
17.92384285,15.76847511,20.1074322,22.9159544,18.58823748,26.32417106,21.75339704,-9.785924619
0.3756727436,0.8118433901,-0.4747082517,1.780626309,3.173814914,-3.692611368,-16.62880368,3.302975339
1.199929893,1.421208796,0.62403853,2.042004827,6.960509526,-0.4497651563,-9.123335104,12.98454133
2.488999623,1.433128093,1.204156624,6.938460017,7.18174727,10.60170916,8.584521438,12.31392887
1.893363164,1.597932654,0.8433394128,2.823667057,2.346085274,13.1550347,12.81137783,6.484920149
2.24319803,2.57707807,2.722413213,6.438506368,5.503224701,18.21079867,1.100751052,17.15182451
5.395415441,5.441239074,5.535026385,5.397341558,10.89097283,11.24824852,12.29685484,8.778841159
4.757325456,5.447072254,5.399700004,9.039159333,8.151609576,11.51616699,4.614566416,6.756187201
0.2696188242,0.1868946283,0.1213609724,3.184392327,2.617340721,4.53678173,11.26376565,11.68180876
0.6427336573,-0.7075236908,2.977937206,1.718685254,4.687296356,5.837765127,15.95806734,15.4149091
2.687524221,2.689925299,5.476622642,7.089466305,6.344754072,11.71292583,24.68728938,2.982187172
2.246633014,1.822830095,0.9363447318,0.7346783389,4.047488485,-1.573801144,8.873703308,6.164292215
1.407161027,0.5612044519,-1.056861163,1.962260135,8.966927964,8.482744749,7.024642002,10.9424394
3.186696734,2.735116749,1.872713905,6.990824386,7.990989868,7.68691968,5.725386402,4.898430261
3.599291599,3.664987496,3.161269193,7.975029344,6.86320574,7.822192624,15.72111768,11.56403707
1.019833765,-0.3912865977,1.921735769,1.718561654,2.798003723,4.18035283,-0.4305969732,2.669641631
2.775664281,3.056537749,1.658609675,3.244535401,8.41416338,9.424043984,10.33159107,10.16420443
1.937060288,-3.28681824,1.866904325,3.588373695,9.931918122,8.704085414,16.39776903,15.58263179
-2.855070074,-0.6891413041,7.065514919,8.069976977,18.12391866,20.33582135,21.59720526,18.51611941
1.249161062,1.100587993,0.6039682428,1.845027185,1.384804551,8.110200815,3.691512923,2.988999058
2.429336367,1.923947864,2.897897537,2.878894069,23.54771923,16.68043463,14.22566304,15.18874472
1.599299623,2.649950165,1.695698027,4.171149488,13.14525369,8.54103168,10.85865189,13.60073709
4.185782893,-0.9766933343,4.367371048,-0.7758462892,0.64885321,20.45802991,16.15950569,12.77951366
2.405718942,2.525386732,3.000036346,4.425196192,4.092973754,11.4764877,13.16038289,17.63474632
2.37764303,2.84242612,0.2506476373,1.556580526,3.830913887,4.699993062,5.86043403,3.147288793
2.960213074,2.714745855,0.8081362761,0.02645086616,9.660022539,5.388795721,0.7011977022,-0.6983623363
3.189170347,3.462381095,2.49524325,3.435367267,4.981036776,8.481583271,11.96332474,11.29747741
1.146185094,2.182091328,1.779445021,1.701091797,-6.197974008,13.10212678,13.20047985,7.074267336
2.196807137,2.074381515,0.7222966242,1.711743275,2.136181057,3.959680917,16.36225216,8.405483236
0.3587647005,-1.113034754,2.396070157,4.010447538,12.57221506,10.22043726,19.14525348,17.1807963
1.488984412,0.768857051,0.1546916653,2.522424682,7.980867088,3.818804826,10.89815862,12.28314167
2.126719106,2.808077807,3.112355102,3.767957347,6.1202101,6.164447877,9.491269394,6.550128606
0.8103175094,0.7552721979,0.4198294557,1.836085746,1.489754642,5.645364909,9.385042942,-1.052037408
3.502378625,1.794407548,3.711303008,7.920854582,6.425979754,11.03676649,19.68064456,12.84302381
13.45437056,8.757854572,4.921800492,5.082665488,12.48878682,12.46792981,17.98667662,16.83401793
6.317166466,6.873915103,5.762036169,7.111386475,16.76218755,23.91028657,20.30062675,19.6717305
2.581631967,4.738821253,5.071654455,9.136526648,13.03350535,16.17705887,22.00027502,10.80567658
7.51887787,6.900017844,9.428501416,9.504731503,14.63567535,19.35465661,24.9677602,11.72446174
0.8008866373,0.5963679508,-0.7434896443,1.2121358,8.843404765,-2.050479723,-1.214004169,8.154012499
9.374183252,9.048044806,10.07645534,11.86474464,9.37582206,21.03069151,20.5375684,8.311361076
1.274684157,2.065746664,0.9884358606,4.910302709,5.81024308,13.43536884,13.54264162,12.90153795
11.76177875,17.14609817,20.53567915,15.56483351,17.52668777,12.86713312,4.136691204,30.3750969
4.255504595,4.273253562,3.409617994,4.383389867,7.799098924,10.18766856,17.12883905,9.152704085
2.810384067,3.284065721,3.272605167,4.984641893,11.16822394,7.834866168,19.13650757,16.97340301
2.647558491,2.96944415,2.808124532,4.348315164,6.758196619,6.385699359,7.106745307,10.31629798
3.148264383,2.985571592,1.902750349,1.548084995,6.100374169,6.335411577,11.80821987,13.07337933
0.3667680718,-0.1991635791,0.5725206478,5.866378195,2.6920175,8.102131965,14.77075987,15.41173784
0.8140018932,0.8405858658,-0.5901683727,1.481263378,4.12095581,7.246857469,20.12465395,14.32967431
3.668518239,3.830779666,5.094762368,5.697356413,9.381827238,8.934379938,16.78635167,12.80526619
0.9842350747,0.4676808257,-0.02499895851,-0.2336254713,2.309732494,2.061049527,7.11192181,2.838434004
4.365616089,0.7586291656,0.3327401561,1.337114421,0.1563291251,5.003161552,5.576838655,6.799217156
5.844937265,5.112530984,6.552128021,7.735282204,6.742314985,2.414706585,15.58390906,18.8919812
4.58316947,5.10339307,5.263812907,5.931467399,9.642756485,5.84339661,12.46331598,6.03310796
1.46505482,0.3822687248,0.5358497807,2.46763523,6.502690653,7.600674663,9.3706733,12.16292964
1.530883406,1.127245228,6.133423317,11.24804669,5.37563679,12.07430848,21.41479466,17.49338017
8.244808556,5.458774865,4.115915165,5.649612246,11.29441093,6.74549047,10.47958284,10.38138871
0.8808185394,0.6607043993,-1.145235007,2.446919656,7.406819348,2.639574993,4.750375211,5.410262177
-0.1334624076,0.2197880201,-1.379242223,0.5416799503,3.326104947,9.102268447,13.27143398,23.25797852
0.2990987608,-1.67217011,0.4371321242,3.850509977,13.30696899,8.628635016,20.08035852,16.65839058
3.165421534,0.404834628,2.548060226,3.94949917,6.094838949,8.143822839,15.59866907,8.47832065
4.783113448,3.571420157,3.340415817,5.53326059,4.4293948,4.592944372,12.61040054,9.082458969
2.999612382,4.724405064,3.696790077,4.980309184,7.664440374,7.808653884,17.94465127,10.68927941
6.601475504,7.046843131,3.725763624,7.095053672,20.52402788,6.745302206,16.13179152,12.94297469
1.305195118,-1.076723061,-1.912109885,1.65179443,3.002464429,0.4867093761,-5.425528126,-2.235159521
1.787839196,0.3029267499,0.7034883691,1.392222293,3.979871397,3.708440074,8.03053632,4.96844492
3.836779568,2.74313594,3.093350054,5.53257794,7.901778403,12.56267912,20.92687468,1.861708958
4.202055008,3.654785718,2.185329157,3.553030911,6.19452512,10.014961,7.767419665,6.542381747
3.980864978,5.419160227,4.928876892,4.006564897,18.02819592,12.93903743,19.97841476,13.70768766
1.585658758,1.606655787,1.700028971,3.865440483,6.226818698,4.604151627,11.49161988,6.821395253
4.828753578,5.236747138,3.615653697,4.810815994,-20.6452074,6.045150713,14.52061797,12.94752185
2.924422519,-2.52131227,2.856990335,3.766053544,-2.126463821,14.02577154,15.71278468,9.284114853
11.41774903,10.79250255,12.43924645,15.66006396,13.96063652,6.249234525,11.00424491,11.89348047
1.447781862,0.7635173473,1.192929704,3.179657928,10.26964962,7.873907381,7.668718487,8.46232059
2.727300096,2.144568882,1.278378715,3.424567114,5.053071419,3.896585577,11.47453071,9.986269668
4.953329045,10.05542402,9.294368312,9.071975592,9.380351498,11.04050373,14.52486762,9.911527727
3.898616793,2.719773824,1.752077019,4.676891426,7.772349256,9.129422919,17.14614839,7.907990886
1.497879789,2.227136093,1.982627464,4.182945948,5.290809698,7.990462966,11.14691154,14.31789619
1.796713563,2.203032853,3.318783773,4.931409401,8.768794836,7.940296013,15.21141161,8.538507045
0.2554887321,-0.6688731019,-2.573138098,2.278313858,-6.739936223,2.45115557,3.716147935,1.42559346
4.521697298,3.756409485,2.597055774,4.928840918,8.514946008,10.35047735,14.24805849,14.68215615
4.111755615,0.9775331085,-1.581350172,3.085121654,8.396340742,4.536433085,5.253312683,1.675742965
1.940883176,1.8323395,1.563250225,4.00386752,13.55930736,8.023337049,16.64040622,12.48103386
14.8674669,13.8064843,12.61644454,11.22026845,13.49776816,13.37373544,32.33865705,19.92771546
3.402913375,1.621635568,2.920485535,-0.1155045753,6.604229653,-3.111948251,6.404364802,1.923189255
4.418113248,4.037625555,3.159591015,4.508494812,5.448454572,5.930841701,9.009045765,5.552916977
60.70528166,62.7228316,25.98676394,9.9996598,41.42402261,23.76013182,44.7908195,44.00787945
-1.04253773,-0.3301063155,-1.174110802,1.188596986,-2.607667724,-16.39032672,-8.472217631,8.489331221
1.917124107,0.5376396834,-1.77140549,2.382104383,4.840877008,-8.710229532,-13.57013667,13.85820984
2.29754792,0.9089264453,-0.6301123541,1.560490097,1.231415604,5.260500094,-6.783111731,12.0283119
1.934698725,1.768421813,0.4961345336,2.140132286,3.747136587,6.818663396,16.66467881,9.069381752
4.909580241,1.17264096,-0.3503507087,5.487174246,7.668781912,-0.5011655566,16.11024223,14.94451086
1.013416843,0.9955706386,0.5971995392,2.038312024,1.166637958,2.842375994,6.882496996,1.663820646
7.05292138,6.503910203,5.481153413,5.549478274,6.872286555,10.3887665,9.814445866,8.326785412
15.12819739,14.12983404,11.58162802,17.89533298,16.87298327,23.91986674,29.44805502,42.21120704
2.582379607,2.827242215,3.259615467,2.180622706,7.910829989,14.73516757,15.8134086,4.912752989
10.39261909,7.59115782,2.695825963,8.9503711,5.533380039,11.8458429,25.17201853,11.30148362
3.022492783,-1.949970089,-2.101327226,-0.01386090498,2.499036058,7.70031036,4.5267851,5.552261786
7.331118112,7.586774657,9.309323657,7.462418339,11.19007828,14.78417804,21.77408614,15.54413119
16.14739107,13.56293799,12.10464138,10.30008917,13.21187476,13.0000962,16.29743287,25.98813135
2.304211757,2.7250511,5.19219287,2.316250191,12.29929666,6.681821173,-0.5606250468,8.500215385
7.227016661,8.755579616,14.61161505,19.90210707,15.2532295,11.81849521,38.14698395,3.591742757
10.0920466,126.7806364,188.2820965,68.58511546,24.7238635,125.2292224,176.7376345,84.08319064
